customer_id,unsupervised_score,lr_score,rf_score
C00594,654,654,656
C00595,654,654,656
C00596,654,654,655
C00597,493,493,499
C00598,493,493,497
C00599,475,475,489
C00600,475,475,489
C00601,582,582,582
C00602,564,564,563
C00603,564,564,558
C00604,600,600,597
C00605,618,618,618
C00606,618,618,618
C00607,636,636,636
C00608,618,618,620
C00609,671,671,676
C00610,671,671,675
C00611,707,707,715
C00612,636,636,635
C00613,689,689,690
C00614,689,689,690
C00615,654,654,670
C00616,654,654,676
C00617,743,743,743
C00618,725,725,725
C00619,654,654,649
C00620,725,725,725
C00621,582,582,582
C00622,582,582,583
C00623,564,564,553
C00624,564,564,560
C00625,689,689,709
C00626,689,689,709
C00627,654,654,659
C00628,689,689,709
C00629,582,582,602
C00630,564,564,571
C00631,564,564,573
C00632,564,564,571
C00633,671,671,671
C00634,636,636,636
C00635,636,636,636
C00636,636,636,636
C00637,636,636,638
C00638,636,636,639
C00639,654,654,653
C00640,654,654,654
C00641,421,421,421
C00642,404,403,404
C00643,404,403,404
C00644,404,403,404
C00645,421,421,429
C00646,457,457,457
C00647,457,457,457
C00648,457,457,457
C00649,439,439,439
C00650,439,439,439
C00651,439,439,439
C00652,439,439,439
C00653,636,636,636
C00654,618,618,605
C00655,636,636,633
C00656,618,618,633
C00657,546,546,547
C00658,546,546,546
C00659,529,529,529
C00660,546,546,546
C00661,743,743,743
C00662,743,743,743
C00663,743,743,743
C00664,743,743,743
C00665,421,421,421
C00666,421,421,421
C00667,421,421,421
C00668,421,421,421
C00669,689,689,690
C00670,707,707,708
C00671,689,689,690
C00672,671,671,674
C00673,707,707,694
C00674,689,689,690
C00675,689,689,689
C00676,689,689,688
C00677,529,529,529
C00678,529,529,529
C00679,493,493,527
C00680,546,546,547
C00681,564,564,563
C00682,564,564,564
C00683,546,546,546
C00684,546,546,547
C00685,475,475,475
C00686,475,475,475
C00687,457,457,457
C00688,457,457,457
C00689,654,654,658
C00690,654,654,658
C00691,654,654,657
C00692,636,636,630
C00693,671,671,670
C00694,671,671,670
C00695,636,636,636
C00696,636,636,635
C00697,689,689,690
C00698,743,743,736
C00699,743,743,743
C00700,725,725,724
C00701,439,439,440
C00702,421,421,421
C00703,421,421,421
C00704,421,421,421
C00705,618,618,616
C00706,618,618,618
C00707,618,618,618
C00708,618,618,616
C00709,582,582,582
C00710,582,582,582
C00711,600,600,624
C00712,582,582,582
C00713,582,582,607
C00714,564,564,570
C00715,564,564,564
C00716,493,493,497
C00717,671,671,671
C00718,636,636,628
C00719,636,636,630
C00720,636,636,659
C00721,654,654,644
C00722,654,654,643
C00723,654,654,645
C00724,636,636,635
C00725,689,689,689
C00726,654,654,649
C00727,671,671,680
C00728,654,654,648
C00729,725,725,721
C00730,654,654,628
C00731,689,689,677
C00732,689,689,675
C00733,636,636,626
C00734,636,636,626
C00735,654,654,637
C00736,654,654,654
C00737,475,475,502
C00738,475,475,475
C00739,511,511,511
C00740,475,475,477
C00741,582,582,581
C00742,582,582,583
C00743,600,600,594
C00744,582,582,587
C00745,457,457,457
C00746,439,439,439
C00747,457,457,457
C00748,457,457,457
C00749,743,743,735
C00750,743,743,740
C00751,743,743,739
C00752,743,743,736
C00753,439,439,454
C00754,457,457,457
C00755,457,457,458
C00756,457,457,479
C00757,421,421,421
C00758,421,421,421
C00759,421,421,421
C00760,421,421,421
C00761,439,439,439
C00762,475,475,474
C00763,439,439,439
C00764,421,421,421
C00765,654,654,655
C00766,689,689,691
C00767,671,671,671
C00768,671,671,671
C00769,529,529,529
C00770,529,529,529
C00771,529,529,530
C00772,529,529,529
C00773,743,743,743
C00774,671,671,637
C00775,725,725,729
C00776,707,707,710
C00777,707,707,702
C00778,689,689,680
C00779,689,689,688
C00780,689,689,680
C00781,654,654,654
C00782,654,654,654
C00783,654,654,653
C00784,654,654,653
C00785,636,636,634
C00786,636,636,636
C00787,636,636,636
C00788,654,654,655
C00789,689,689,688
C00790,707,707,707
C00791,689,689,689
C00792,689,689,689
C00793,618,618,598
C00794,689,689,689
C00795,689,689,689
C00796,689,689,689
C00797,600,600,604
C00798,600,600,610
C00799,618,618,618
C00800,618,618,617
C00801,618,618,620
C00802,671,671,675
C00803,654,654,654
C00804,654,654,654
C00805,654,654,656
C00806,618,618,618
C00807,618,618,618
C00808,636,636,637
C00809,439,439,439
C00810,421,421,421
C00811,421,421,421
C00812,421,421,421
C00813,654,654,655
C00814,654,654,661
C00815,654,654,654
C00816,671,671,681
C00817,618,618,618
C00818,600,600,601
C00819,600,600,608
C00820,600,600,603
C00821,779,779,779
C00822,779,779,779
C00823,779,779,779
C00824,761,761,761
C00825,618,618,638
C00826,671,671,674
C00827,671,671,671
C00828,654,654,654
C00829,671,671,671
C00830,671,671,671
C00831,689,689,686
C00832,671,671,671
C00833,529,529,548
C00834,564,564,564
C00835,564,564,567
C00836,564,564,567
C00837,493,493,493
C00838,493,493,493
C00839,475,475,475
C00840,493,493,493
C00841,671,671,670
C00842,636,636,638
C00843,636,636,639
C00844,600,600,595
C00845,707,707,707
C00846,689,689,688
C00847,689,689,689
C00848,689,689,689
C00849,493,493,493
C00850,493,493,493
C00851,493,493,493
C00852,493,493,493
C00853,475,475,476
C00854,421,421,432
C00855,493,493,490
C00856,475,475,476
C00857,457,457,457
C00858,457,457,457
C00859,439,439,439
C00860,457,457,457
C00861,654,654,644
C00862,636,636,625
C00863,636,636,635
C00864,636,636,636
C00865,689,689,689
C00866,654,654,633
C00867,689,689,689
C00868,671,671,671
C00869,404,403,404
C00870,404,403,404
C00871,404,403,404
C00872,368,368,368
C00873,582,582,560
C00874,564,564,562
C00875,582,582,559
C00876,600,600,582
C00877,457,457,457
C00878,457,457,457
C00879,457,457,457
C00880,439,439,439
C00881,511,511,512
C00882,457,457,457
C00883,457,457,457
C00884,457,457,457
C00885,636,636,639
C00886,671,671,672
C00887,654,654,654
C00888,654,654,654
C00889,511,511,530
C00890,600,600,601
C00891,600,600,600
C00892,600,600,615
C00893,457,457,458
C00894,439,439,439
C00895,439,439,439
C00896,421,421,421
C00897,493,493,493
C00898,493,493,493
C00899,493,493,493
C00900,493,493,493
C00901,564,564,564
C00902,564,564,564
C00903,564,564,567
C00904,582,582,590
C00905,654,654,660
C00906,636,636,657
C00907,636,636,656
C00908,636,636,657
C00909,725,725,725
C00910,725,725,726
C00911,707,707,702
C00912,707,707,707
C00913,689,689,689
C00914,689,689,689
C00915,743,743,743
C00916,671,671,671
C00917,689,689,688
C00918,707,707,707
C00919,707,707,707
C00920,671,671,671
C00921,546,546,545
C00922,546,546,542
C00923,546,546,542
C00924,546,546,543
C00925,564,564,564
C00926,564,564,563
C00927,564,564,563
C00928,546,546,546
C00929,725,725,723
C00930,725,725,718
C00931,725,725,718
C00932,725,725,718
C00933,600,600,591
C00934,600,600,588
C00935,600,600,591
C00936,618,618,618
C00937,493,493,493
C00938,475,475,475
C00939,493,493,493
C00940,493,493,493
C00941,546,546,547
C00942,529,529,529
C00943,529,529,529
C00944,546,546,548
C00945,600,600,600
C00946,600,600,601
C00947,582,582,586
C00948,600,600,601
C00949,689,689,689
C00950,654,654,659
C00951,654,654,658
C00952,654,654,659
C00953,636,636,634
C00954,636,636,635
C00955,636,636,635
C00956,654,654,660
C00957,600,600,600
C00958,600,600,599
C00959,600,600,599
C00960,600,600,601
C00961,475,475,475
C00962,475,475,475
C00963,475,475,475
C00964,493,493,496
C00965,475,475,475
C00966,475,475,475
C00967,475,475,475
C00968,475,475,475
C00969,689,689,689
C00970,689,689,689
C00971,689,689,689
C00972,689,689,689
C00973,636,636,634
C00974,618,618,618
C00975,636,636,645
C00976,618,618,621
C00977,564,564,564
C00978,564,564,564
C00979,546,546,541
C00980,564,564,566
C00981,671,671,671
C00982,671,671,669
C00983,654,654,648
C00984,671,671,669
C00985,689,689,688
C00986,689,689,689
C00987,689,689,689
C00988,689,689,689
C00989,564,564,563
C00990,564,564,564
C00991,564,564,564
C00992,546,546,530
C00993,529,529,529
C00994,529,529,529
C00995,529,529,527
C00996,493,493,493
C00997,564,564,579
C00998,546,546,565
C00999,546,546,574
C01000,546,546,565
C01001,618,618,618
C01002,582,582,580
C01003,618,618,617
C01004,600,600,600
C01005,636,636,637
C01006,618,618,608
C01007,636,636,638
C01008,636,636,636
C01009,618,618,612
C01010,618,618,598
C01011,636,636,635
C01012,618,618,612
C01013,439,439,439
C01014,439,439,439
C01015,439,439,439
C01016,439,439,439
C01017,725,725,725
C01018,725,725,725
C01019,725,725,725
C01020,689,689,689
C01021,689,689,689
C01022,671,671,673
C01023,671,671,671
C01024,654,654,654
C01025,439,439,448
C01026,439,439,449
C01027,421,421,421
C01028,439,439,448
C01029,600,600,600
C01030,582,582,571
C01031,582,582,567
C01032,564,564,560
C01033,582,582,591
C01034,600,600,600
C01035,618,618,619
C01036,582,582,582
C01037,689,689,690
C01038,689,689,689
C01039,689,689,689
C01040,689,689,690
C01041,725,725,725
C01042,725,725,725
C01043,707,707,690
C01044,707,707,690
C01045,457,457,457
C01046,457,457,457
C01047,457,457,457
C01048,475,475,475
C01049,475,475,494
C01050,493,493,505
C01051,457,457,463
C01052,475,475,494
C01053,671,671,683
C01054,689,689,691
C01055,654,654,682
C01056,671,671,681
C01057,618,618,617
C01058,546,546,583
C01059,600,600,602
C01060,564,564,591
C01061,689,689,689
C01062,689,689,690
C01063,689,689,691
C01064,689,689,690
C01065,529,529,529
C01066,546,546,552
C01067,546,546,551
C01068,529,529,530
C01069,493,493,493
C01070,493,493,493
C01071,529,529,525
C01072,493,493,493
C01073,457,457,457
C01074,457,457,457
C01075,457,457,457
C01076,457,457,457
C01077,600,600,600
C01078,600,600,610
C01079,582,582,586
C01080,582,582,587
C01081,671,671,669
C01082,707,707,707
C01083,707,707,707
C01084,707,707,707
C01085,439,439,439
C01086,439,439,439
C01087,439,439,439
C01088,439,439,439
C01089,475,475,525
C01090,511,511,511
C01091,529,529,531
C01092,564,564,564
C01093,707,707,700
C01094,707,707,705
C01095,707,707,700
C01096,707,707,706
C01097,564,564,564
C01098,529,529,564
C01099,582,582,578
C01100,546,546,534
C01101,725,725,726
C01102,671,671,666
C01103,707,707,707
C01104,707,707,707
C01105,636,636,627
C01106,618,618,618
C01107,600,600,578
C01108,618,618,618
C01109,707,707,708
C01110,671,671,671
C01111,707,707,707
C01112,707,707,708
C01113,761,761,761
C01114,743,743,743
C01115,743,743,743
C01116,743,743,743
C01117,475,475,501
C01118,475,475,487
C01119,439,439,439
C01120,439,439,439
C01121,546,546,548
C01122,546,546,547
C01123,546,546,548
C01124,546,546,547
C01125,475,475,475
C01126,511,511,512
C01127,457,457,457
C01128,475,475,475
C01129,511,511,517
C01130,475,475,476
C01131,475,475,477
C01132,457,457,459
C01133,618,618,618
C01134,600,600,598
C01135,618,618,618
C01136,618,618,618
C01137,743,743,740
C01138,743,743,742
C01139,743,743,743
C01140,707,707,713
C01141,689,689,689
C01142,689,689,690
C01143,689,689,688
C01144,671,671,678
C01145,582,582,586
C01146,600,600,600
C01147,582,582,585
C01148,600,600,601
C01149,618,618,625
C01150,654,654,665
C01151,654,654,657
C01152,654,654,665
C01153,511,511,511
C01154,457,457,457
C01155,439,439,439
C01156,493,493,492
C01157,511,511,511
C01158,511,511,511
C01159,529,529,529
C01160,511,511,504
C01161,600,600,598
C01162,600,600,600
C01163,600,600,600
C01164,564,564,582
C01165,439,439,439
C01166,457,457,457
C01167,439,439,439
C01168,439,439,439
C01169,529,529,529
C01170,529,529,529
C01171,529,529,530
C01172,529,529,528
C01173,600,600,601
C01174,600,600,600
C01175,600,600,600
C01176,600,600,601
C01177,671,671,671
C01178,671,671,670
C01179,654,654,655
C01180,636,636,634
C01181,511,511,517
C01182,546,546,546
C01183,546,546,546
C01184,600,600,600
C01185,511,511,511
C01186,511,511,521
C01187,582,582,610
C01188,493,493,497
C01189,761,761,761
C01190,707,707,706
C01191,707,707,707
C01192,707,707,707
C01193,636,636,636
C01194,636,636,636
C01195,671,671,663
C01196,671,671,666
C01197,529,529,579
C01198,511,511,573
C01199,529,529,581
C01200,529,529,583
C01201,796,796,796
C01202,761,761,760
C01203,761,761,761
C01204,689,689,689
C01205,689,689,689
C01206,689,689,684
C01207,689,689,688
C01208,689,689,660
C01209,529,529,517
C01210,493,493,493
C01211,546,546,518
C01212,546,546,537
C01213,546,546,543
C01214,564,564,564
C01215,564,564,563
C01216,564,564,564
C01217,725,725,725
C01218,725,725,725
C01219,707,707,698
C01220,707,707,698
C01221,439,439,439
C01222,457,457,458
C01223,511,511,510
C01224,493,493,493
C01225,457,457,457
C01226,457,457,457
C01227,493,493,493
C01228,493,493,493
C01229,529,529,529
C01230,529,529,528
C01231,546,546,545
C01232,529,529,529
C01233,564,564,564
C01234,582,582,582
C01235,564,564,564
C01236,582,582,574
C01237,493,493,493
C01238,493,493,492
C01239,493,493,493
C01240,475,475,475
C01241,618,618,614
C01242,618,618,610
C01243,618,618,614
C01244,618,618,617
C01245,475,475,477
C01246,439,439,440
C01247,511,511,500
C01248,439,439,439
C01249,671,671,670
C01250,671,671,669
C01251,671,671,669
C01252,689,689,682
C01253,529,529,528
C01254,529,529,529
C01255,511,511,514
C01256,546,546,546
C01257,600,600,600
C01258,582,582,582
C01259,546,546,542
C01260,582,582,581
C01261,457,457,457
C01262,475,475,478
C01263,439,439,439
C01264,439,439,439
C01265,725,725,734
C01266,743,743,744
C01267,725,725,732
C01268,725,725,725
C01269,707,707,706
C01270,707,707,707
C01271,707,707,707
C01272,707,707,703
C01273,671,671,668
C01274,671,671,667
C01275,671,671,667
C01276,689,689,668
C01277,618,618,624
C01278,654,654,655
C01279,671,671,671
C01280,654,654,656
C01281,546,546,546
C01282,546,546,546
C01283,564,564,565
C01284,564,564,565
C01285,564,564,563
C01286,564,564,565
C01287,564,564,560
C01288,564,564,564
C01289,725,725,683
C01290,725,725,683
C01291,725,725,686
C01292,725,725,686
C01293,475,475,475
C01294,475,475,475
C01295,475,475,475
C01296,457,457,457
C01297,707,707,707
C01298,707,707,707
C01299,725,725,727
C01300,707,707,707
C01301,600,600,593
C01302,618,618,615
C01303,618,618,614
C01304,636,636,636
C01305,475,475,475
C01306,475,475,475
C01307,475,475,475
C01308,475,475,475
C01309,654,654,654
C01310,654,654,654
C01311,654,654,659
C01312,671,671,671
C01313,493,493,493
C01314,439,439,439
C01315,439,439,439
C01316,439,439,439
C01317,689,689,689
C01318,671,671,671
C01319,689,689,688
C01320,689,689,689
C01321,439,439,439
C01322,439,439,439
C01323,439,439,439
C01324,457,457,457
C01325,582,582,584
C01326,600,600,619
C01327,600,600,616
C01328,636,636,645
C01329,529,529,527
C01330,546,546,552
C01331,546,546,543
C01332,529,529,529
C01333,671,671,674
C01334,707,707,711
C01335,671,671,674
C01336,671,671,674
C01337,404,403,404
C01338,404,403,404
C01339,404,403,404
C01340,404,403,404
C01341,761,761,754
C01342,796,796,796
C01343,796,796,796
C01344,761,761,752
C01345,582,582,581
C01346,564,564,567
C01347,546,546,562
C01348,546,546,562
C01349,636,636,633
C01350,654,654,651
C01351,654,654,634
C01352,618,618,594
C01353,618,618,622
C01354,618,618,625
C01355,671,671,672
C01356,636,636,636
C01357,582,582,578
C01358,618,618,617
C01359,636,636,621
C01360,600,600,580
C01361,636,636,636
C01362,636,636,637
C01363,636,636,636
C01364,636,636,636
C01365,529,529,529
C01366,511,511,509
C01367,511,511,511
C01368,511,511,511
C01369,439,439,439
C01370,421,421,421
C01371,439,439,439
C01372,439,439,439
C01373,600,600,592
C01374,582,582,581
C01375,600,600,581
C01376,564,564,550
C01377,439,439,439
C01378,439,439,439
C01379,475,475,475
C01380,439,439,439
C01381,421,421,422
C01382,457,457,458
C01383,457,457,457
C01384,475,475,508
C01385,707,707,703
C01386,725,725,724
C01387,725,725,724
C01388,725,725,723
C01389,600,600,602
C01390,582,582,601
C01391,600,600,601
C01392,600,600,603
C01393,725,725,711
C01394,725,725,712
C01395,743,743,742
